"assessor"	"journal"	"volume"	"issue"	"pages"	"evidence"	"corpus_based"	"quantitative"	"frequencies_mentioned"	"annotation"	"enriched"	"size_of_dataset_defined"	"additional_variables"	"hypothesis_mentioned"	"type_token_frequencies"	"data_availability"	"wordlists"	"Stat_tech"	"absolute_frequencies"	"percentages"	"basic_nht"	"linear_models"	"phylogenetic_trees"	"PCA"	"Comment"
"B,G"	"FLH"	33	1	"1--28"	"literature"	FALSE	FALSE	TRUE	"NA"	"NA"	TRUE	TRUE	TRUE	"type"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"Diachronica"	29	1	"1--27"	"wordlists"	FALSE	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	TRUE	"NA"	TRUE	TRUE	"NHT"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"LangVarChange"	24		"1--31"	"spoken corpus"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	"NA"	TRUE	FALSE	"Regression, NHT"	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	"NA"
"B,G"	"LangDynChange"	2	1	"1--33"	"demographics, atlas"	FALSE	TRUE	FALSE	"NA"	FALSE	TRUE	FALSE	TRUE	"NA"	TRUE	FALSE	"MDS, clustering, PCA"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"NA"
"B,G"	"JHL"	2	1	"7--24"	"literature"	FALSE	FALSE	FALSE	"NA"	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B,G"	"TrPhilSoc"	110	1	"1--33"	"examples"	FALSE	FALSE	FALSE	"NA"	FALSE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Not historical"
"G"	"Diachronica"	29	2	"129--138"	"literature"	FALSE	FALSE	FALSE	"NA"	"NA"	"NA"	"NA"	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"G"	"Diachronica"	29	2	"139--161"	"corpora,wordlists"	TRUE	TRUE	FALSE	"NA"	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	TRUE	"Regression "	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	2	"123--149"	"wordlists"	FALSE	TRUE	FALSE	"NA"	"NA"	TRUE	FALSE	TRUE	"token"	TRUE	TRUE	"Phylogenetic trees, PCA"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	"NA"
"B"	"Diachronica"	29	1	"28--71"	"examples, texts"	FALSE	FALSE	TRUE	"NA"	"NA"	FALSE	TRUE	TRUE	"token"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"397--415"	"Corpus of TOronto English"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"fixed-effect models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"variationist"
"B"	"LangVarChange"	24	"-"	"279--315"	"3 diachronically-related spoken corpora"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"absolute frequencies, percentages"	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"343--369"	"composite spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"absolute frequencies, percentages, multivariate analysis, correlation test"	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	"NA"
"B"	"LangVarChange"	24	"-"	"59--78"	"spoken recordings; corpus"	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	"token"	FALSE	FALSE	"mixed-effect regression models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"methodological paper"
"B"	"LangVarChange"	24	"-"	"221--245"	"spoken corpus"	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"token"	FALSE	FALSE	"linear mixed-effect models"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangVarChange"	24	"-"	"135--178"	"spoken corpus"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"logistic regression, glmm, random forest"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"Mainly methodological"
"G"	"LangVarChange"	24	"-"	"203--220"	"interview"	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	FALSE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	"-"	"98--116"	"Typological database"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	"type"	"partial"	FALSE	"Phylogenetic trees"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	"Parts of data from WALS"
"G"	"LangVarChange"	24	"-"	"317--341"	"Spoken corpora"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"token"	TRUE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"NA"
"G"	"LangDynChange"	2	"-"	"184--211"	"Literature"	FALSE	FALSE	FALSE	"NA"	"NA"	FALSE	FALSE	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Theoretical paper"
"G"	"LangVarChange"	24	"-"	"371--395"	"Interview / recordings"	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"NA"	FALSE	FALSE	"Varbrul"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	"variationist"
"G"	"Diachronica"	29	2	"231--257"	"Literature"	FALSE	FALSE	FALSE	"NA"	"NA"	"NA"	"NA"	TRUE	"NA"	TRUE	FALSE	"NA"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Traditional-theoretical"
